filename,expected_result,failure_mode,brand_name,subtitle,class_type,alcohol_content,net_contents,producer_importer_statement,country_of_origin,warning_statement_status,notes
01_red_maple_distillery_pass.png,PASS,None,Red Maple,Distillery,Straight Bourbon Whiskey,46% ALC./VOL. (92 PROOF),750 mL,"Bottled by Red Maple Distillery, 20 Maple Road, Burlington, VT 05401",Product of USA,Present,Compliant domestic bourbon
02_sunset_grove_merlot_pass.png,PASS,None,Sunset Grove,California 2022,Merlot,13.9% ALC./VOL.,750 mL,"Produced and Bottled by Sunset Grove Vineyards, Paso Robles, California",California,Present,Compliant wine label
03_sierra_verde_reposado_pass.png,PASS,None,Sierra Verde,100% de Agave,Tequila Reposado,40% ALC./VOL. (80 PROOF),750 mL,"Imported by Sierra Verde Imports LLC, San Antonio, TX 78205",Hecho en Mexico,Present,Compliant imported tequila
04_harbor_light_vodka_pass.png,PASS,None,Harbor Light,Premium,Vodka,40% ALC./VOL. (80 PROOF),750 mL,"Distilled by Harbor Light Spirits, Portland, ME 04101",Product of USA,Present,Compliant domestic vodka
05_chateau_laurent_cabernet_pass.png,PASS,None,Chateau Laurent,California 2021,Cabernet Sauvignon,13.5% ALC./VOL.,750 mL,"Produced and Bottled by Chateau Laurent Winery, Napa, California",California,Present,Compliant wine with script brand
06_azul_del_sol_blanco_pass.png,PASS,None,Azul Del Sol,100% de Agave,Tequila Blanco,40% ALC./VOL. (80 PROOF),750 mL,"Imported by Azul Imports, Inc., Phoenix, AZ 85004",Hecho en Mexico,Present,Compliant imported tequila
07_riverstone_gin_pass.png,PASS,None,Riverstone,Distilling Co.,London Dry Gin,42% ALC./VOL. (84 PROOF),750 mL,"Distilled by Riverstone Distilling Co., Providence, RI 02903",Product of USA,Present,Compliant gin with dark label
08_black_oak_reserve_pass.png,PASS,None,Black Oak,Reserve,Kentucky Straight Bourbon Whiskey,47% ALC./VOL. (94 PROOF),750 mL,"Bottled by Black Oak Reserve Distillery, Frankfort, KY 40601",Product of USA,Present,Compliant bourbon
09_ocean_breeze_lager_pass.png,PASS,None,Ocean Breeze,Coastal Brewing,Craft Lager,5.2% ALC./VOL.,12 FL OZ (355 mL),"Brewed and Canned by Ocean Breeze Brewing Co., Charleston, SC 29401",Brewed in USA,Present,Compliant brewery label
10_caribbean_star_rum_pass.png,PASS,None,Caribbean Star,Spiced Rum,Rum,40% ALC./VOL. (80 PROOF),750 mL,"Imported by Caribbean Star Imports LLC, Miami, FL 33130",Product of Jamaica,Present,Compliant imported rum
11_wildflower_mead_pass.png,PASS,None,Wildflower,Apiary Cellars,Honey Wine Mead,12% ALC./VOL.,750 mL,"Produced and Bottled by Wildflower Apiary Cellars, Asheville, NC 28801",Product of USA,Present,Compliant mead label
12_glacier_point_vodka_pass.png,PASS,None,Glacier Point,Premium Vodka,Vodka,40% ALC./VOL. (80 PROOF),750 mL,"Distilled by Glacier Point Spirits, Bozeman, MT 59715",Product of USA,Present,Compliant vodka with mountain art
13_golden_hops_ipa_pass.png,PASS,None,Golden Hops,Foundry Brewing,India Pale Ale,6.8% ALC./VOL.,12 FL OZ (355 mL),"Brewed and Canned by Golden Hops Foundry Brewing, Grand Rapids, MI 49503",Brewed in USA,Present,Compliant brewery label
14_moon_valley_pinot_pass.png,PASS,None,Moon Valley,Winery 2021,Pinot Noir,13.5% ALC./VOL.,750 mL,"Produced and Bottled by Moon Valley Winery, Lodi, California",California,Present,Compliant pinot noir
15_highland_heritage_scotch_pass.png,PASS,None,Highland Heritage,Single Malt,Scotch Whisky,43% ALC./VOL. (86 PROOF),750 mL,"Imported by Highland Heritage Imports, New York, NY 10017",Product of Scotland,Present,Compliant imported scotch
16_missing_warning_fail.png,FAIL,Missing warning statement,Cedar Creek,Distillery,Small Batch Bourbon,45% ALC./VOL. (90 PROOF),750 mL,"Bottled by Cedar Creek Distillers, Lexington, KY 40507",Product of USA,Missing,Missing government warning
17_missing_importer_fail.png,FAIL,Missing importer statement,Desert Sun,100% de Agave,Tequila Blanco,40% ALC./VOL. (80 PROOF),750 mL,,Hecho en Mexico,Present,Imported product missing importer
18_incomplete_address_fail.png,FAIL,Incomplete producer address,Noble Oak,Distilling,Straight Bourbon,45% ALC./VOL. (90 PROOF),750 mL,"Bottled by Noble Oak Distilling, Nashville, TN",Product of USA,Present,Address incomplete
19_missing_country_fail.png,FAIL,Missing country of origin,Islander Gold,Aged Rum,Rum,40% ALC./VOL. (80 PROOF),750 mL,"Imported by Islander Gold Imports, Tampa, FL 33602",,Present,Imported product missing COO
20_title_case_warning_fail.png,FAIL,Improper warning capitalization,Misty Hollow,Winery,Sauvignon Blanc,13.0% ALC./VOL.,750 mL,"Produced and Bottled by Misty Hollow Winery, Sonoma, California",California,Improper capitalization,Warning not all caps
21_partial_warning_fail.png,FAIL,Partial warning statement,Prairie Fire,Small Batch,Straight Bourbon Whiskey,46% ALC./VOL. (92 PROOF),750 mL,"Bottled by Prairie Fire Distilling Co., Wichita, KS 67202",Product of USA,Partial,Warning text incomplete
22_tiny_warning_fail.png,FAIL,Warning text too small,Silver Crest,Craft Lager,Pilsner,5.0% ALC./VOL.,12 FL OZ (355 mL),"Brewed and Canned by Silver Crest Brewing Co., Madison, WI 53703",Brewed in USA,Too small,Warning tiny and likely unreadable
23_glare_obstruction_fail.png,FAIL,Glare obstructing required text,Coastal Light,Premium,Vodka,40% ALC./VOL. (80 PROOF),750 mL,"Distilled by Coastal Light Distillers, Wilmington, NC 28401",Product of USA,Present,Glare over middle text
24_blurry_label_fail.png,FAIL,Blurry image,Evergreen Peak,Distillers,London Dry Gin,41% ALC./VOL. (82 PROOF),750 mL,"Distilled by Evergreen Peak Distillers, Seattle, WA 98101",Product of USA,Present,Entire label blurry
25_rotated_label_fail.png,FAIL,Rotated image,North Star,Whiskey Co.,Whiskey,43% ALC./VOL. (86 PROOF),750 mL,"Bottled by North Star Whiskey Co., Duluth, MN 55802",Product of USA,Present,Image rotated/askew
26_cropped_label_fail.png,FAIL,Cropped image,Heritage Hill,Small Batch,Whiskey,45% ALC./VOL. (90 PROOF),750 mL,"Bottled by Heritage Hill Distillery, Richmond, KY 40475",Product of USA,Present,Image edges cropped
27_wrong_volume_fail.png,FAIL,Wrong net contents,Arctic Crown,Premium Vodka,Vodka,40% ALC./VOL. (80 PROOF),700 mL,"Distilled by Arctic Crown Spirits, Anchorage, AK 99501",Product of USA,Present,Net contents intentionally wrong
28_wrong_abv_fail.png,FAIL,Wrong alcohol content,Wild Mountain,Reserve,Bourbon Whiskey,38% ALC./VOL. (76 PROOF),750 mL,"Bottled by Wild Mountain Distilling, Boise, ID 83702",Product of USA,Present,ABV intentionally wrong
29_missing_class_type_fail.png,FAIL,Missing class/type,Golden Meadow,Cellars,,12.5% ALC./VOL.,750 mL,"Produced and Bottled by Golden Meadow Cellars, Monterey, California",California,Present,Class/type missing
30_mismatched_country_fail.png,FAIL,Country-of-origin mismatch,Luna Verde,100% de Agave,Tequila Reposado,40% ALC./VOL. (80 PROOF),750 mL,"Imported by Luna Verde Imports, San Diego, CA 92101",Product of Spain,Present,Tequila paired with wrong COO
